CaseID,Age,MaritalStatus,Residence,EducationLevel,NumChild,WealthIndexCategorical,WealthIndexScore
    00010017 02,38,Married,Rural,No Education,8,Poorer,-51074
    00010017 03,17,Single,Rural,Primary,0,Poorer,-51074
    00010018 02,42,Married,Rural,Primary,6,Poorer,-50742
    00010025 02,46,Married,Rural,No Education,9,Poorer,-50137
    00010025 10,17,Other,Rural,No Education,1,Poorer,-50137
    00010040 03,31,Married,Rural,No Education,4,Poorer,-53785
    00010045 01,36,Married,Rural,No Education,3,Richest,-2828
    00010065 02,31,Married,Rural,No Education,5,Poorer,-57173
    00010090 03,23,Other,Rural,No Education,2,Poorest,-64141
    00010125 02,17,Married,Rural,Primary,0,Middle,-37343
    00010133 02,45,Married,Rural,No Education,7,Poorest,-61976
    00010183 02,28,Married,Rural,Primary,0,Middle,-33812
    00010207 02,25,Married,Rural,Primary,2,Middle,-37879
    00010214 02,25,Married,Rural,No Education,3,Richer,-31679
    00010263 02,27,Married,Rural,No Education,6,Richer,-27687
    00010279 02,43,Married,Rural,No Education,7,Poorer,-57344
    00010279 04,17,Single,Rural,No Education,0,Poorer,-57344
    00010316 02,34,Married,Rural,No Education,5,Poorer,-48067
    00010358 02,25,Married,Rural,Primary,0,Poorer,-48596
    00010400 02,42,Married,Rural,No Education,6,Middle,-37901
    00010400 03,19,Other,Rural,Primary,1,Middle,-37901
    00010400 04,16,Single,Rural,Primary,0,Middle,-37901
    00010410 02,39,Married,Rural,No Education,8,Middle,-36591
    00010410 03,18,Single,Rural,Primary,0,Middle,-36591
    00010439 02,25,Married,Rural,No Education,0,Poorer,-48215
    00010449 02,38,Married,Rural,No Education,5,Poorest,-83839
    00020029 02,20,Married,Rural,No Education,3,Poorest,-98459
    00020097 01,36,Married,Rural,No Education,5,Poorest,-144953
    00020165 01,38,Married,Rural,No Education,6,Poorest,-104969
    00020168 01,22,Married,Rural,Primary,1,Poorest,-75491
    00020171 02,30,Married,Rural,No Education,6,Poorest,-83536
    00020176 01,25,Married,Rural,No Education,2,Poorest,-93471
    00020234 01,36,Married,Rural,No Education,8,Poorest,-102373
    00020234 02,15,Single,Rural,Primary,0,Poorest,-102373
    00020235 02,21,Married,Rural,Primary,1,Poorest,-91422
    00020340 04,15,Single,Rural,Primary,0,Poorest,-104538
    00020399 02,29,Married,Rural,No Education,6,Poorest,-91948
    00020437 02,20,Married,Rural,Primary,2,Poorest,-101166
    00020463 02,16,Married,Rural,Primary,1,Poorest,-116080
    00030014 02,19,Single,Rural,Higher,0,Poorer,-50385
    00030014 03,20,Single,Rural,Secondary,0,Poorer,-50385
    00030017 02,26,Married,Rural,No Education,5,Richer,-23046
    00030022 02,30,Married,Rural,No Education,2,Middle,-37617
    00030031 03,35,Other,Rural,No Education,1,Richer,-20983
    00030031 05,16,Single,Rural,Secondary,0,Richer,-20983
    00030067 02,27,Married,Rural,No Education,2,Richer,-30753
    00030100 02,27,Married,Rural,No Education,3,Middle,-38176
    00030115 02,28,Married,Rural,No Education,2,Poorer,-50071
    00030127 02,40,Married,Rural,No Education,4,Middle,-44423
    00030131 04,18,Other,Rural,Secondary,0,Richer,-25595
    00030141 02,33,Married,Rural,No Education,3,Middle,-33620
    00030168 02,32,Married,Rural,No Education,5,Richer,-30568
    00030188 03,20,Married,Rural,Primary,0,Richest,-5312
    00030241 05,24,Single,Rural,Secondary,0,Richer,-27268
    00030243 01,27,Married,Rural,No Education,2,Poorer,-57398
    00030250 02,19,Married,Rural,Primary,0,Richer,-30604
    00030286 03,19,Single,Rural,Secondary,0,Middle,-35215
    00030286 04,16,Single,Rural,Primary,0,Middle,-35215
    00030300 03,21,Single,Rural,Higher,0,Richest,1596
    00030300 04,16,Single,Rural,Secondary,0,Richest,1596
    00030317 02,27,Married,Rural,No Education,1,Richer,-14339
    00030363 02,30,Married,Rural,No Education,2,Richer,-31798
    00030363 06,28,Other,Rural,Primary,1,Richer,-31798
    00030368 02,40,Married,Rural,No Education,8,Richer,-30431
    00030382 02,32,Married,Rural,No Education,4,Middle,-45081
    00030401 02,27,Married,Rural,No Education,2,Poorer,-48367
    00030447 02,27,Married,Rural,No Education,4,Richer,-24473
    00040007 02,16,Single,Rural,No Education,0,Poorest,-119254
    00040007 03,28,Married,Rural,No Education,3,Poorest,-119254
    00040029 01,38,Married,Rural,No Education,5,Poorest,-129968
    00040039 01,25,Married,Rural,No Education,4,Poorest,-102659
    00040072 02,25,Married,Rural,No Education,2,Poorest,-96758
    00040112 01,15,Single,Rural,Primary,0,Poorest,-124460
    00040112 02,44,Married,Rural,No Education,6,Poorest,-124460
    00040112 04,22,Married,Rural,Primary,2,Poorest,-124460
    00040154 01,20,Married,Rural,Primary,1,Poorest,-119953
    00040234 03,20,Married,Rural,No Education,0,Poorest,-133747
    00040240 01,27,Married,Rural,No Education,4,Poorest,-115706
    00040241 01,29,Married,Rural,No Education,3,Poorest,-125968
    00040287 01,28,Married,Rural,No Education,3,Poorest,-82631
    00040336 01,27,Married,Rural,No Education,2,Poorest,-131143
    00040400 01,20,Married,Rural,No Education,1,Poorest,-135109
    00040442 01,34,Married,Rural,No Education,3,Poorest,-123663
    00050004 01,28,Married,Urban,Primary,1,Richest,64547
